accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method
2017-03-18 00:00:47.671,4410,TCP  ,75.66.239.42,46,IOS App,62,Male,IT,Premium,English,153.584,No,0.0,Debit Card
2017-03-18 00:00:47.671,3203,TCP  ,75.68.249.107,40,IOS App,63,Female,US,Premium,English,12.864,No,0.0,Cash
2017-03-18 00:02:17.787,3071,TCP  ,75.85.157.65,390,Safari,21,Female,US,Premium,English,767.952,No,0.0,Credit Card
2017-03-18 00:02:17.787,1750,TCP  ,75.86.66.38,519,Safari,45,Male,NO,Premium,English,14.352,No,0.0,Others
2017-03-18 00:01:40.133,1693,TCP  ,75.89.211.191,556,Safari,40,Male,IT,Normal,English,191.976,No,0.0,Credit Card
2017-03-18 00:01:40.133,4356,TCP  ,75.97.106.144,515,Safari,59,Male,SE,Normal,English,274.77,No,0.0,Cash
2017-03-18 00:01:40.134,2454,TCP  ,75.99.236.22,561,Others,33,Female,US,Normal,English,70.56,No,0.0,Credit Card
2017-03-18 00:01:40.134,3976,TCP  ,76.10.83.181,589,Others,64,Female,PE,Normal,English,204.85,No,0.0,Debit Card
2017-03-18 00:01:40.134,3399,TCP  ,76.1.83.234,702,Others,50,Female,KR,Normal,English,9.156,No,0.0,Cash
2017-03-18 00:01:40.134,3093,TCP  ,76.102.223.252,586,Others,53,Male,KR,Normal,English,23.992,No,0.0,Credit Card
2017-03-18 00:01:40.177,3242,TCP  ,76.102.236.82,1727,Others,64,Female,CH,Normal,English,80.88,No,0.0,Credit Card
2017-03-18 00:01:40.177,4315,TCP  ,76.103.90.241,579,Others,30,Female,CH,Normal,English,599.9,No,0.0,Debit Card
2017-03-18 00:01:40.569,3501,TCP  ,76.105.103.32,556,Others,40,Female,JP,Normal,English,276.69,No,0.0,Credit Card
2017-03-18 00:01:40.569,2486,TCP  ,76.105.154.22,515,Others,32,Male,AT,Normal,English,172.764,No,0.0,Cash
